package,Methods,Instances,stable,grounded,nospec,vararg,Fail
SpatialEcology,131,349,149,109,1,30,0
SpecialFunctions,427,898,847,806,4,1,0
SpikingNeuralNetworks,28,75,65,27,0,1,0
SplitApplyCombine,86,335,175,127,10,10,0
StatPlots,1009,5355,4372,3090,9,53,0
StatProfilerHTML,29,118,111,26,1,1,0
StateSpaceModels,310,1098,649,478,0,0,0
StateSpaceRoutines,50,99,60,30,0,0,0
StaticArrays,157,771,597,514,64,16,0
StaticLint,204,379,323,217,0,0,0
StaticNumbers,158,1246,974,935,25,23,0
StatisticalRethinking,1615,6686,4771,3600,82,104,0
StatsBase,452,1582,1451,1399,8,21,0
StatsFuns,263,468,465,461,1,1,0
StatsModels,248,3070,1570,1396,2,35,0
StatsPlots,1219,5330,3867,2936,57,70,0
Stheno,347,2343,1955,1920,0,10,0
Stipple,34,34,13,11,2,0,0
StochDynamicProgramming,84,129,91,58,0,1,0
StochasticPrograms,1599,14118,11970,8555,16,110,0
Strapping,15,31,23,18,0,0,0
Strategems,22,30,23,11,0,1,0
Strided,48,176,175,143,5,16,0
StringDistances,83,761,693,648,0,0,0
Strs,33,50,30,19,3,2,0
StructArrays,132,2889,2004,1895,3,21,0
StructJuMP,871,10430,8914,6723,13,32,0
StructTypes,92,343,304,298,0,5,0
StructuredOptimization,103,991,345,307,0,34,2
SumOfSquares,1585,14292,11729,8905,13,80,3
SumProductNetworks,57,79,59,44,5,1,0
Sundials,595,6302,4395,2513,35,25,0
Suppressor,6,6,6,0,6,0,0
Surrogates,19,74,35,21,0,0,0
Survival,47,96,82,73,0,6,0
SymEngine,93,199,130,113,1,5,0
SymPy,241,454,117,99,0,118,0
SymbolicUtils,186,2817,1865,1543,7,17,0
SystemBenchmark,98,124,110,104,0,0,0
TSAnalysis,25,55,51,31,0,0,0
TSne,0,0,0,0,0,0,0
TableView,11,25,25,21,0,0,0
Tables,195,1345,908,726,6,12,0
Tar,82,838,562,315,0,0,0
Taro,3,3,1,1,0,0,0
TaylorIntegration,369,1771,1521,1009,6,12,0
TaylorModels,348,1127,847,691,8,9,0
TaylorSeries,277,747,638,611,5,20,0
Temporal,201,260,236,214,0,11,0
TemporalGPs,1,1,0,0,0,0,0
TensorBoardLogger,92,386,356,330,0,1,0
TensorCast,143,568,399,303,17,11,0
TensorFlow,94,149,78,43,14,6,0
TensorOperations,450,3700,2727,1821,142,51,0
TensorToolbox,347,696,301,203,0,2,0
Tensors,221,2968,2761,2715,39,2,0
TerminalExtensions,2,2,2,1,0,0,0
TerminalMenus,29,43,42,24,0,0,0
TerminalUserInterfaces,2,2,1,1,0,0,0
TextAnalysis,197,367,308,239,0,3,0
TextParse,129,827,504,352,9,1,0
TextUserInterfaces,14,14,13,7,6,0,0
TheFix,11,14,9,3,1,0,0
TikzGraphs,0,0,0,0,0,0,0
TikzPictures,34,50,39,33,0,0,0
TiledIteration,15,40,39,39,0,3,0
TimeSeries,312,1185,741,542,10,8,0
TimeSeriesClustering,134,295,234,161,32,30,0
TimeZones,191,282,199,161,2,1,0
TimerOutputs,49,108,101,70,0,3,0
Tokenize,97,256,251,249,0,0,0
Traceur,42,8098,6431,304,2,2,0
TrajectoryOptimization,884,10822,9306,7190,14,12,0
TranscodingStreams,75,210,208,183,1,0,0
TransformVariables,97,1137,1036,988,0,11,0
Transformers,188,314,237,190,7,6,0
TravelingSalesmanHeuristics,30,77,61,47,0,0,0
TreeView,15,20,10,8,0,0,0
Tricks,7,9,3,1,3,0,0
Tulip,1373,21087,18285,13674,10,27,2
Tullio,167,1258,1000,462,124,9,0
TuringModels,0,0,0,0,0,0,0
TypedTables,69,356,268,241,12,14,0
UnPack,9,27,18,15,2,0,0
Underscores,7,25,10,9,1,0,0
UnicodePlots,96,256,253,233,0,5,0
Unrolled,24,42,30,18,8,1,0
UnsafeArrays,26,282,169,156,0,12,0
ValidatedNumerics,168,284,209,164,5,3,0
VegaLite,52,83,59,37,4,5,0
VideoIO,116,173,134,101,1,4,0
ViscousFlow,587,1173,683,543,27,17,0
VoronoiDelaunay,40,54,53,50,0,1,0
WAV,68,276,238,146,0,0,0
WaterModels,1615,16852,12965,8667,11,50,1
Wavelets,239,700,607,532,2,3,0
Weave,175,378,320,197,0,3,0
WebAssembly,46,137,72,44,0,0,0
WebIO,163,289,249,184,7,12,0
WebSockets,87,293,255,146,0,5,0
Word2Vec,33,43,37,35,0,0,0
WordCloud,228,620,298,159,1,20,0
WordTokenizers,73,95,89,77,0,1,0
WriteVTK,146,1158,1122,753,2,48,0
XGBoost,46,74,71,47,1,1,0
XLSX,267,400,335,288,2,0,0
YAAD,139,1819,1392,1367,0,19,0
YOLO,37,43,28,20,0,0,0
Yao,36,56,37,17,5,0,0
Yota,157,1092,680,509,5,21,0
ZMQ,90,112,106,101,0,1,0
Zarr,152,1745,1162,1071,0,16,0
Zygote,804,15711,12897,12153,60,78,1
jlpkg,3,3,3,1,0,0,0
